phone_ts_ms	host_ts_ms	offset_ms
1781815439422	1781815439026	-396
1781815439453	1781815439056	-397
1781815439488	1781815439091	-397
1781815439521	1781815439124	-397
1781815439555	1781815439160	-395
1781815439587	1781815439189	-398
1781815439621	1781815439223	-398
1781815439656	1781815439260	-396
1781815439687	1781815439290	-397
1781815439710	1781815439316	-394
1781815439743	1781815439346	-397
1781815439776	1781815439380	-396
1781815439809	1781815439411	-398
1781815439842	1781815439445	-397
1781815439876	1781815439479	-397
1781815439914	1781815439517	-397
1781815439941	1781815439550	-391
1781815439974	1781815439583	-391
1781815440007	1781815439610	-397
1781815440040	1781815439646	-394
1781815440074	1781815439678	-396
1781815440107	1781815439710	-397
1781815440139	1781815439742	-397
1781815440172	1781815439775	-397
1781815440205	1781815439808	-397
1781815440239	1781815439842	-397
1781815440271	1781815439873	-398
1781815440304	1781815439907	-397
1781815440337	1781815439940	-397
1781815440372	1781815439977	-395
1781815440403	1781815440006	-397
1781815440437	1781815440039	-398
1781815440470	1781815440073	-397
1781815440506	1781815440108	-398
1781815440536	1781815440138	-398
1781815440570	1781815440174	-396
1781815440603	1781815440205	-398
1781815440634	1781815440237	-397
1781815440668	1781815440270	-398
1781815440701	1781815440304	-397
1781815440734	1781815440338	-396
1781815440767	1781815440369	-398
1781815440800	1781815440404	-396
1781815440834	1781815440436	-398
1781815440868	1781815440471	-397
1781815440902	1781815440504	-398
1781815440935	1781815440537	-398
1781815440969	1781815440572	-397
1781815440999	1781815440601	-398
1781815441033	1781815440635	-398
1781815441073	1781815440675	-398
1781815441108	1781815440710	-398
1781815441149	1781815440752	-397
1781815441168	1781815440770	-398
1781815441204	1781815440807	-397
1781815441235	1781815440837	-398
1781815441266	1781815440868	-398
1781815441295	1781815440897	-398
1781815441333	1781815440936	-397
1781815441365	1781815440969	-396
1781815441402	1781815441004	-398
1781815441433	1781815441037	-396
1781815441459	1781815441061	-398
1781815441495	1781815441097	-398
1781815441534	1781815441136	-398
1781815441566	1781815441170	-396
1781815441599	1781815441202	-397
1781815441624	1781815441232	-392
1781815441657	1781815441261	-396
1781815441692	1781815441296	-396
1781815441729	1781815441331	-398
1781815441756	1781815441366	-390
1781815441790	1781815441393	-397
1781815441825	1781815441430	-395
1781815441856	1781815441461	-395
1781815441888	1781815441499	-389
1781815441927	1781815441532	-395
1781815441959	1781815441563	-396
1781815441994	1781815441596	-398
1781815442022	1781815441628	-394
1781815442054	1781815441657	-397
1781815442086	1781815441689	-397
1781815442119	1781815441723	-396
1781815442160	1781815441764	-396
1781815442185	1781815441788	-397
1781815442218	1781815441822	-396
1781815442251	1781815441853	-398
1781815442290	1781815441892	-398
1781815442317	1781815441920	-397
1781815442351	1781815441954	-397
1781815442388	1781815441991	-397
1781815442421	1781815442024	-397
1781815442450	1781815442053	-397
1781815442484	1781815442087	-397
1781815442518	1781815442123	-395
1781815442550	1781815442155	-395
1781815442582	1781815442186	-396
1781815442616	1781815442219	-397
1781815442654	1781815442260	-394
1781815442684	1781815442288	-396
1781815442714	1781815442320	-394
1781815442751	1781815442360	-391
1781815442781	1781815442384	-397
1781815442814	1781815442419	-395
1781815442850	1781815442454	-396
1781815442882	1781815442486	-396
1781815442921	1781815442523	-398
1781815442953	1781815442555	-398
1781815442983	1781815442585	-398
1781815443017	1781815442619	-398
1781815443051	1781815442655	-396
1781815443082	1781815442687	-395
1781815443113	1781815442718	-395
1781815443150	1781815442753	-397
1781815443186	1781815442790	-396
1781815443215	1781815442828	-387
1781815443249	1781815442853	-396
1781815443284	1781815442888	-396
1781815443315	1781815442917	-398
1781815443348	1781815442956	-392
1781815443382	1781815442987	-395
1781815443422	1781815443027	-395
1781815443450	1781815443055	-395
1781815443483	1781815443085	-398
1781815443515	1781815443118	-397
1781815443538	1781815443141	-397
1781815443571	1781815443176	-395
1781815443604	1781815443207	-397
1781815443638	1781815443243	-395
1781815443670	1781815443273	-397
1781815443703	1781815443308	-395
1781815443736	1781815443339	-397
1781815443769	1781815443372	-397
1781815443802	1781815443407	-395
1781815443835	1781815443437	-398
1781815443868	1781815443471	-397
1781815443901	1781815443514	-387
1781815443940	1781815443543	-397
1781815443973	1781815443577	-396
1781815444000	1781815443603	-397
1781815444033	1781815443636	-397
1781815444066	1781815443669	-397
1781815444099	1781815443702	-397
1781815444132	1781815443735	-397
1781815444165	1781815443768	-397
1781815444198	1781815443801	-397
1781815444239	1781815443842	-397
1781815444266	1781815443868	-398
1781815444299	1781815443903	-396
1781815444332	1781815443935	-397
1781815444365	1781815443970	-395
1781815444397	1781815443999	-398
1781815444432	1781815444035	-397
1781815444463	1781815444067	-396
1781815444496	1781815444099	-397
1781815444534	1781815444136	-398
1781815444561	1781815444166	-395
1781815444597	1781815444200	-397
1781815444631	1781815444236	-395
1781815444772	1781815444375	-397
phone_ts_ms	host_ts_ms	offset_ms
1781817079076	1781817078663	-413
1781817079090	1781817078672	-418
1781817079123	1781817078705	-418
1781817079151	1781817078734	-417
1781817079184	1781817078766	-418
1781817079218	1781817078802	-416
1781817079270	1781817078855	-415
1781817079283	1781817078875	-408
1781817079318	1781817078906	-412
1781817079353	1781817078937	-416
1781817079385	1781817078968	-417
1781817079417	1781817078999	-418
1781817079451	1781817079034	-417
1781817079490	1781817079072	-418
1781817079519	1781817079101	-418
1781817079552	1781817079135	-417
1781817079580	1781817079162	-418
1781817079613	1781817079196	-417
1781817079648	1781817079232	-416
1781817079679	1781817079261	-418
1781817079719	1781817079302	-417
1781817079749	1781817079331	-418
1781817079780	1781817079362	-418
1781817079816	1781817079399	-417
1781817079846	1781817079429	-417
1781817079881	1781817079463	-418
1781817079922	1781817079504	-418
1781817079958	1781817079541	-417
1781817079987	1781817079569	-418
1781817080014	1781817079597	-417
1781817080042	1781817079624	-418
1781817080075	1781817079657	-418
1781817080119	1781817079701	-418
1781817080151	1781817079733	-418
1781817080186	1781817079771	-415
1781817080219	1781817079805	-414
1781817080248	1781817079831	-417
1781817080282	1781817079864	-418
1781817080319	1781817079906	-413
1781817080348	1781817079931	-417
1781817080386	1781817079970	-416
1781817080412	1781817080003	-409
1781817080445	1781817080030	-415
1781817080481	1781817080064	-417
1781817080513	1781817080096	-417
1781817080547	1781817080129	-418
1781817080582	1781817080166	-416
1781817080614	1781817080199	-415
1781817080645	1781817080229	-416
1781817080685	1781817080268	-417
1781817080719	1781817080305	-414
1781817080745	1781817080328	-417
1781817080780	1781817080363	-417
1781817080815	1781817080398	-417
1781817080845	1781817080428	-417
1781817080878	1781817080461	-417
1781817080914	1781817080497	-417
1781817080948	1781817080531	-417
1781817080974	1781817080558	-416
1781817080999	1781817080583	-416
1781817081032	1781817080615	-417
1781817081065	1781817080647	-418
1781817081098	1781817080680	-418
1781817081131	1781817080713	-418
1781817081169	1781817080755	-414
1781817081208	1781817080793	-415
1781817081243	1781817080828	-415
1781817081263	1781817080845	-418
1781817081296	1781817080878	-418
1781817081332	1781817080922	-410
1781817081363	1781817080945	-418
1781817081395	1781817080979	-416
1781817081428	1781817081010	-418
1781817081461	1781817081044	-417
1781817081494	1781817081077	-417
1781817081527	1781817081110	-417
1781817081560	1781817081142	-418
1781817081598	1781817081181	-417
1781817081626	1781817081209	-417
1781817081660	1781817081243	-417
1781817081694	1781817081277	-417
1781817081728	1781817081310	-418
1781817081761	1781817081343	-418
1781817081794	1781817081377	-417
1781817081828	1781817081413	-415
1781817081864	1781817081446	-418
1781817081901	1781817081484	-417
1781817081926	1781817081515	-411
1781817081956	1781817081539	-417
1781817081989	1781817081572	-417
1781817082023	1781817081606	-417
1781817082060	1781817081643	-417
1781817082090	1781817081672	-418
1781817082129	1781817081718	-411
1781817082162	1781817081745	-417
1781817082187	1781817081771	-416
1781817082232	1781817081815	-417
1781817082263	1781817081846	-417
1781817082293	1781817081875	-418
1781817082330	1781817081917	-413
1781817082365	1781817081948	-417
1781817082394	1781817081977	-417
1781817082431	1781817082019	-412
1781817082459	1781817082041	-418
1781817082497	1781817082080	-417
1781817082526	1781817082111	-415
1781817082563	1781817082146	-417
1781817082585	1781817082169	-416
1781817082631	1781817082214	-417
1781817082662	1781817082244	-418
1781817082692	1781817082276	-416
1781817082731	1781817082317	-414
1781817082759	1781817082344	-415
1781817082800	1781817082386	-414
1781817082826	1781817082408	-418
1781817082848	1781817082431	-417
1781817082893	1781817082478	-415
1781817082913	1781817082499	-414
1781817082946	1781817082529	-417
1781817082979	1781817082562	-417
1781817083013	1781817082596	-417
1781817083053	1781817082636	-417
1781817083104	1781817082686	-418
1781817083111	1781817082697	-414
1781817083145	1781817082727	-418
1781817083177	1781817082762	-415
1781817083214	1781817082801	-413
1781817083243	1781817082829	-414
1781817083277	1781817082859	-418
1781817083324	1781817082906	-418
1781817083343	1781817082928	-415
1781817083379	1781817082963	-416
1781817083410	1781817082993	-417
1781817083452	1781817083036	-416
1781817083474	1781817083058	-416
1781817083508	1781817083090	-418
1781817083542	1781817083124	-418
1781817083573	1781817083156	-417
1781817083609	1781817083192	-417
1781817083639	1781817083221	-418
1781817083674	1781817083258	-416
1781817083708	1781817083290	-418
1781817083738	1781817083322	-416
1781817083774	1781817083357	-417
1781817083804	1781817083386	-418
1781817083845	1781817083428	-417
1781817083870	1781817083453	-417
1781817083921	1781817083503	-418
1781817083936	1781817083519	-417
1781817083973	1781817083555	-418
1781817084009	1781817083595	-414
1781817084039	1781817083621	-418
1781817084074	1781817083657	-417
1781817084105	1781817083688	-417
1781817084140	1781817083722	-418
1781817084167	1781817083749	-418
1781817084210	1781817083798	-412
1781817084241	1781817083823	-418
1781817084274	1781817083856	-418
1781817084307	1781817083890	-417
1781817084342	1781817083925	-417
1781817084371	1781817083955	-416
1781817084410	1781817083993	-417
1781817084437	1781817084020	-417
1781817084472	1781817084055	-417
1781817084504	1781817084088	-416
1781817084532	1781817084116	-416
1781817084572	1781817084155	-417
1781817084604	1781817084187	-417
1781817084640	1781817084222	-418
1781817084677	1781817084260	-417
1781817084708	1781817084290	-418
1781817084740	1781817084323	-417
1781817084774	1781817084356	-418
1781817084798	1781817084382	-416
1781817084827	1781817084410	-417
1781817084861	1781817084443	-418
1781817084893	1781817084476	-417
1781817084926	1781817084510	-416
1781817084975	1781817084557	-418
1781817084992	1781817084576	-416
1781817085025	1781817084607	-418
1781817085061	1781817084646	-415
1781817085093	1781817084676	-417
1781817085124	1781817084707	-417
1781817085157	1781817084739	-418
1781817085190	1781817084773	-417
1781817085223	1781817084805	-418
1781817085262	1781817084844	-418
1781817085289	1781817084871	-418
1781817085322	1781817084905	-417
1781817085355	1781817084937	-418
1781817085388	1781817084970	-418
1781817085428	1781817085011	-417
1781817085459	1781817085041	-418
1781817085494	1781817085076	-418
1781817085520	1781817085107	-413
1781817085553	1781817085136	-417
1781817085589	1781817085174	-415
1781817085621	1781817085204	-417
1781817085655	1781817085240	-415
1781817085688	1781817085271	-417
1781817085724	1781817085308	-416
1781817085758	1781817085340	-418
1781817085786	1781817085369	-417
1781817085821	1781817085404	-417
1781817085853	1781817085435	-418
1781817085887	1781817085472	-415
1781817085919	1781817085503	-416
1781817085955	1781817085539	-416
1781817085982	1781817085566	-416
1781817086020	1781817085605	-415
1781817086056	1781817085639	-417
1781817086085	1781817085674	-411
1781817086125	1781817085707	-418
1781817086154	1781817085736	-418
1781817086189	1781817085771	-418
1781817086219	1781817085802	-417
1781817086252	1781817085834	-418
1781817086289	1781817085878	-411
1781817086326	1781817085908	-418
1781817086360	1781817085942	-418
1781817086414	1781817085996	-418
1781817086457	1781817086039	-418
phone_ts_ms	host_ts_ms	offset_ms
1781818248410	1781818247971	-439
